domain,fb,name,sources,tw,usnpl_tag,website,wp_tags,yt
10news.com,,KGTV,stationindex,,TV station,http://www.10news.com/,,
11alive.com,,WXIA,stationindex,,TV station,http://www.11alive.com/,,
12newsnow.com,,KBMT,stationindex,,TV station,http://www.12newsnow.com/,,
13abc.com,,WTVG,stationindex,,TV station,http://www.13abc.com/,,
13wham.com,,WHAM,sbgi.net,,TV station,http://www.13wham.com,,
13wmaz.com,,WMAZ,stationindex,,TV station,http://www.13wmaz.com/,,
14wfie.com,,WFIE,stationindex,,TV station,http://www.14wfie.com/,,
22thepoint.com,,WPNT,sbgi.net,,TV station,http:// 22thepoint.com,,
247sports.com,https://www.facebook.com/247Sports,Cat's Pause,usnpl.com,TheCatsPause,Magazines,http://kentucky.247sports.com,,http://www.youtube.com/user/247SportsStudio
27east.com,https://www.facebook.com/27east,27east.com,usnpl.com,27east,Newspapers,http://www.27east.com,,http://www.youtube.com/user/twentyseveneast
2havefun.com,,2HaveFunIn Minnesota,usnpl.com,,Magazines,http://www.2havefun.com,,
35wsee.com,,WSEE,stationindex,,TV station,http://www.35wsee.com/,,
397news.com,,Groton Independent,usnpl.com,,Newspapers,http://397news.com,,
39online.com,,KIAH,stationindex,,TV station,http://www.39online.com/,,
4029tv.com,,KHOG,stationindex,,TV station,http://www.4029tv.com/,,
417mag.com,https://www.facebook.com/417mag,417 Magazine,usnpl.com,417_magazine,Magazines,http://www.417mag.com,,
47tv.com,,KGPE,stationindex,,TV station,http://www.47tv.com/,,
48north.com,,Northwest Sailing,usnpl.com,,Magazines,http://www.48north.com,,
4bcaonline.com,,Barry County Advertiser,usnpl.com,bc_advertiser,Newspapers,http://www.4bcaonline.com,,
4utah.com,,KTVX,stationindex,,TV station,http://www.4utah.com/,,
58abc.com,,WPGA,stationindex,,TV station,http://www.58abc.com/,,
5newsonline.com,https://www.facebook.com/5news,KFSM,tribunemedia.com,5news,TV station,http://5newsonline.com/,,
5newsonline.com,,KXNW,tribunemedia.com,,TV station,http://5newsonline.com/contact/kxnw-2/,,
98online.com,https://www.facebook.com/98online,WIYY-FM,hearst.com,98Rock,TV station,http://98online.com/homepage,,
9and10news.com,,WWTV,stationindex,,TV station,http://www.9and10news.com/,,
9news.com,,KUSA,stationindex,,TV station,http://www.9news.com/,,
a2indy.com,,Ann Arbor independent,usnpl.com,,Newspapers,http://www.a2indy.com,,
abbington.com,,Visitors Information,usnpl.com,,Magazines,http://www.abbington.com/maine.html,,
abbington.com,,NH Information,usnpl.com,,Magazines,http://www.abbington.com/newhamp.html,,
abbington.com,,RI Bed and Breakfast,usnpl.com,,Magazines,http://www.abbington.com/rhode.html,,
abc10.com,,KXTV,stationindex,,TV station,http://www.abc10.com/,,
abc10up.com,,WBUP,stationindex,,TV station,http://abc10up.com/,,
abc11.com,,WTVD,stationindex,,TV station,http://abc11.com/,,
